id,age,annual_income,monthly_debt,credit_score,num_credit_lines,employment_years,loan_amount,loan_term_months,num_late_payments,savings_balance,education,home_status,loan_purpose,region,noise_num_1,noise_num_2,noise_cat_1,noise_num_3,noise_num_4,default
99,27,,4538.43,691,4,,100000,60,,,Bachelor,Mortgage,Business,South,0.208402983,-1.041598096,C,75,134.3294432,0
100,49,,1766.85,,6,6.1,5845,24,1,24289.01,Master,Mortgage,Medical,East,-1.292931248,0.45634313,A,21,797.3722029,0
101,38,76669,2171.22,406,4,0.2,8023,84,1,2036.28,Bachelor,Mortgage,Medical,South,0.508982997,0.323720486,A,56,22.21985601,0
102,30,131533,2301.84,,3,3.9,20150,24,0,20225.45,Master,Rent,Business,East,-0.128280924,0.553077127,A,94,107.8635333,0
103,33,102752,1056.49,699,4,,42282,48,0,1654.9,High School,Own,Debt Consolidation,Central,1.002079319,-1.341074483,B,67,51.34665897,0
104,23,232157,4136.83,586,2,2.4,9255,36,,,Master,Mortgage,Business,South,-0.214474421,-0.202167306,B,55,318.1060686,0
105,23,81018,1078.78,,3,,12926,84,0,642.47,Bachelor,Own,Debt Consolidation,Central,1.086588779,-1.750752982,D,84,494.0011036,0
106,40,25327,2138,704,7,,19953,36,1,9675.34,Bachelor,Rent,Business,East,-0.444140543,0.320250202,C,36,79.78873409,0
107,57,50546,789.9,779,5,8.8,7742,24,1,9652.7,High School,Rent,Other,North,0.280366881,1.452924172,C,70,212.7683383,0
108,41,120985,1838.95,595,1,10.9,10478,60,0,,Bachelor,Own,Other,Central,-0.946229228,-1.249245123,A,21,184.6677985,1
109,54,,3025.35,589,4,2.8,15998,60,,1064.17,PhD,Mortgage,Debt Consolidation,North,0.635570766,-0.123062654,C,85,207.7326468,0
110,51,53945,3156.26,602,5,3.4,3316,12,1,5934.07,Bachelor,Other,Debt Consolidation,West,-1.068746947,-1.196520972,A,40,152.6305932,0
111,43,,1540.84,634,6,,12669,24,1,2546.15,High School,Mortgage,Business,East,0.827664686,-2.201687074,B,58,427.7881026,0
112,40,37611,2355.32,554,3,1.6,8354,60,2,2052.04,Bachelor,Own,Home Improvement,South,0.076866398,1.551581268,C,10,290.7702724,0
113,22,38397,762.17,538,6,,40670,84,1,36407.79,Bachelor,Rent,Home Improvement,North,0.981230384,0.752457466,D,64,623.4192464,0
114,59,89958,776.14,741,3,2,18670,12,0,46581.3,Bachelor,Rent,Business,South,-0.960128771,0.530951325,D,85,33.05994615,0
115,36,90585,2638.31,562,1,23.9,19501,12,0,5327.09,Master,Rent,Home Improvement,South,-1.763930563,-1.157511783,B,72,174.0677795,1
116,25,46218,354.95,615,5,8.6,29045,48,1,839.28,Master,Rent,Business,West,1.566442995,-1.54460035,B,89,535.4723262,0
117,27,21844,519.23,,4,3.2,4710,84,,44798.22,Bachelor,Own,Debt Consolidation,Central,1.455499854,0.19366127,B,43,1006.416473,0
118,33,72291,324.53,737,4,,16989,24,,,High School,Own,Debt Consolidation,East,0.006255436,0.927664721,C,55,604.2131836,0
119,38,88900,2770.86,841,3,,36301,84,1,24447.89,High School,Mortgage,Home Improvement,Central,-1.625027246,2.484819155,C,94,123.7705929,0
120,42,104306,4002.3,583,2,1.9,13267,36,1,5926.56,Bachelor,Mortgage,Medical,Central,1.459220413,1.351171205,C,25,106.4004263,0
121,55,57288,1526.86,570,4,5.7,7357,84,0,13021.3,Bachelor,Mortgage,Other,West,-1.068213041,0.140240627,B,64,10.44081619,0
122,39,42611,2457.63,625,2,6.8,16662,24,2,2399.23,High School,Mortgage,Other,North,-1.070473918,-0.358328958,B,11,451.8912432,0
123,46,,2092.73,701,4,6.8,17018,60,0,6525.48,Bachelor,Rent,Medical,East,-0.486118601,0.86125766,D,10,93.04957143,0
124,18,84448,644.85,506,2,,4253,84,,3028.52,High School,Mortgage,Home Improvement,South,-0.729377883,-0.086496596,A,15,209.0386918,0
125,27,15000,1271.61,808,2,3.2,25138,36,2,2282.51,High School,Rent,Other,Central,-0.559116274,1.528057216,A,25,54.30184488,0
126,49,22545,4484.32,540,4,5.8,16108,60,1,12660.21,Bachelor,Mortgage,Business,Central,-1.100124988,-0.249769579,D,31,531.7095272,0
127,38,19513,3710.08,656,1,1.1,11581,24,1,1074.58,High School,Own,Medical,West,0.017120948,-1.067762507,B,40,134.8901371,1
128,32,,593.3,747,3,4.1,4193,60,,9052.73,High School,Mortgage,Debt Consolidation,Central,0.149736937,0.353470669,D,59,253.9298561,0
129,50,100814,2841.12,,2,0.2,3404,60,0,,Bachelor,Own,Education,South,-0.126475165,-0.489853847,C,12,291.5224181,0
130,36,60999,5358.11,607,5,,15151,12,,50329.78,PhD,Own,Debt Consolidation,North,1.183028228,1.293814465,C,97,16.1863262,0
131,30,43037,502.96,562,3,7.7,16628,36,0,,Master,Own,Other,South,0.824534841,0.495323683,B,74,135.941285,0
132,41,,2528.29,695,2,0.7,6668,48,2,2314.28,High School,Mortgage,Home Improvement,South,-1.439820222,0.250896539,A,50,64.55466539,1
133,40,55632,3401.26,664,4,7.2,6986,24,0,,Bachelor,Rent,Debt Consolidation,North,0.2481253,-0.626364996,C,38,51.65645226,1
134,25,215721,5321.37,568,4,7.6,14024,36,1,,Bachelor,Rent,Medical,South,0.369710012,-0.058574369,B,37,729.2454723,0
135,39,42465,970.88,,9,2.1,7156,24,0,20936.8,Bachelor,Rent,Education,East,-0.862035286,0.228063499,A,51,353.5693029,0
136,28,64591,957.04,740,1,4.1,23951,60,0,2502.72,High School,Rent,Home Improvement,North,-0.634892337,0.820084316,D,24,24.92603515,0
137,35,40218,2074.38,590,3,10.1,27139,60,,17976.65,Bachelor,Own,Home Improvement,East,-0.052303317,1.019055574,D,43,616.5328808,0
138,20,70874,2208.29,,5,9.9,17469,84,1,4646.33,Bachelor,Own,Debt Consolidation,South,-0.987240247,-0.841584135,C,10,300.0246489,0
139,31,63257,2295.79,581,8,1.3,11856,48,0,833.84,Master,Rent,Debt Consolidation,West,0.355009982,-2.269123346,C,1,170.8331345,0
140,42,22230,1165.77,714,6,0.3,24171,60,1,1851.4,Bachelor,Rent,Education,West,0.17637241,0.956898641,A,13,71.28334105,0
141,52,90146,2769.82,,3,5.4,13182,84,1,3676.75,Bachelor,Other,Medical,East,-0.036350045,0.669688542,B,6,94.28380149,0
142,29,23258,1361.2,550,2,7.3,5202,36,,10619.62,Bachelor,Own,Debt Consolidation,East,-1.553335489,-2.69162618,D,12,743.7590394,0
143,30,30978,4236.97,654,2,3.4,4614,24,1,25532.51,High School,Mortgage,Debt Consolidation,East,-0.396868305,0.924962484,C,28,137.0222345,0
144,18,56257,5985.8,689,4,16.6,4068,48,0,4232.3,High School,Mortgage,Debt Consolidation,South,0.606193231,-0.190495839,A,23,144.7374484,0
145,36,,1023.7,528,0,10.4,61828,60,0,2438.14,High School,Rent,Education,Central,-0.676444321,-0.874120462,D,52,968.2945062,0
146,25,26841,1885.45,,7,,15681,24,1,15893.84,Master,Mortgage,Home Improvement,East,1.037877927,0.891503295,A,35,86.21017996,0
147,32,53563,3570.69,589,3,3.8,17376,84,1,9296.95,PhD,Mortgage,Other,North,-0.4026821,-0.565001017,B,87,303.1324529,0
148,27,,2193.2,564,5,,9311,12,1,4302.84,High School,Rent,Debt Consolidation,North,-1.180139306,0.121613417,D,30,199.2320467,0
149,64,89959,2080.43,640,1,6.4,1561,24,1,1267.81,Bachelor,Mortgage,Debt Consolidation,North,-0.222244902,-1.827866903,B,50,104.7493503,0
150,23,108901,901.6,848,2,11.2,23395,60,1,2828.06,Bachelor,Mortgage,Home Improvement,West,-0.130634172,0.417569514,A,55,94.46088117,0
151,25,142968,3153.34,592,5,,16451,12,0,1143.5,Master,Rent,Home Improvement,South,-0.213773609,0.087205126,B,64,162.7645651,0
152,60,,1346.51,,2,,5717,60,2,,Bachelor,Own,Education,Central,0.125414573,-1.204609655,C,76,167.6757823,0
153,24,36874,1555.55,525,3,10,13453,84,0,7002.49,Bachelor,Mortgage,Business,East,-0.231038524,0.282114072,B,50,41.61010621,0
154,34,20427,1290.95,783,3,6.5,14041,48,,2858.41,Bachelor,Own,Medical,Central,-0.491077363,0.419496181,D,3,98.40268499,0
155,42,41491,2412.85,651,5,,28414,36,1,895.27,Bachelor,Rent,Home Improvement,Central,1.625468327,-2.453362495,D,58,141.8627492,0
156,43,43950,1367.12,645,4,8.5,11675,60,0,21375.94,Master,Own,Home Improvement,East,0.122654525,-1.479883679,D,13,65.43178402,0
157,33,162245,1830.42,734,4,16,13010,12,2,5416.23,High School,Mortgage,Education,North,0.823955473,1.598474405,A,18,152.4659104,0
158,36,89086,3630.33,655,6,,5904,12,0,,Master,Mortgage,Business,East,0.656450944,-0.286910273,A,27,153.3027103,0
159,22,70949,966.65,690,2,13.1,17210,48,2,,Bachelor,Other,Medical,North,-1.326388415,-2.662535155,B,98,233.6816146,0
160,35,61970,1396.68,616,4,2.3,24071,48,0,1749.69,Bachelor,Mortgage,Business,South,0.882374573,0.547770132,C,26,880.0213246,0
161,31,64491,3638.77,,2,12.1,3854,84,,5306.33,PhD,Rent,Debt Consolidation,North,-0.452970741,-0.345715436,B,75,14.49220089,0
162,38,146474,3114.73,695,10,3.5,57385,48,,14786.4,High School,Own,Home Improvement,East,-0.422228369,0.962371043,B,55,69.23503805,0
163,37,155259,1522.94,575,2,1.2,12603,24,0,,Bachelor,Own,Debt Consolidation,West,-0.83663443,0.433453495,C,2,57.47855171,0
164,63,,2675.23,539,5,2,20471,48,2,13507.49,High School,Mortgage,Debt Consolidation,West,0.144975275,-0.666345466,A,46,194.4013008,0
165,57,27856,2903.55,,1,8.1,9527,84,0,32871.69,High School,Mortgage,Business,South,0.053663,-2.230664056,C,3,547.4547161,0
166,43,49993,692.33,587,6,6.5,12762,84,0,11864.77,Bachelor,Other,Debt Consolidation,South,-0.891320514,-0.957629487,B,50,216.8220045,0
167,29,87129,1744.51,649,2,6.3,26352,36,1,,Bachelor,Mortgage,Home Improvement,South,-0.236432713,-0.745466947,C,54,529.8344851,0
168,41,,1759.06,630,4,4.5,16362,24,,4011.79,High School,Rent,Home Improvement,West,0.088836551,-1.973584606,A,64,220.559577,0
169,18,41687,1013.34,594,6,2,25160,12,0,1185.18,Bachelor,Rent,Education,Central,0.320028764,1.143171882,C,78,46.56207879,0
170,37,41203,1258.14,,3,0.6,18384,84,1,32609.42,Bachelor,Rent,Debt Consolidation,West,0.369834678,2.557945996,C,73,340.5974934,0
171,35,,932.99,520,5,1.7,71510,48,0,,Bachelor,Mortgage,Home Improvement,North,-0.85269481,1.404622939,C,2,169.1853262,0
172,40,61014,747.34,604,3,3.6,10681,12,1,,Bachelor,Own,Medical,East,-2.005128132,0.734715695,D,2,139.3376605,0
173,35,31246,2134.18,591,5,,1858,60,2,3618.94,None,Mortgage,Business,Central,-0.241344316,-0.012741283,A,97,175.6462652,0
174,40,67542,1837.32,420,4,,100000,24,1,2405.96,Bachelor,Mortgage,Debt Consolidation,North,0.486720511,-0.558755284,D,1,285.2438794,0
175,34,,10998.21,740,11,1.6,8765,12,1,1814.97,Master,Rent,Other,North,-0.530334538,-0.612741293,B,28,94.33970401,0
176,42,137970,1967.32,689,4,0.9,11904,48,0,29259.38,Master,Mortgage,Debt Consolidation,East,-0.511990247,0.528998138,A,5,444.3007212,0
177,59,22694,3648.65,,3,9.2,9805,36,0,34436.55,Bachelor,Mortgage,Education,South,0.545743996,-1.283539807,C,87,297.7559944,0
178,20,38567,1862.42,713,5,3,1690,84,,,Bachelor,Rent,Business,South,0.687233306,0.45350802,D,84,48.44179865,0
179,48,,1027.77,,7,6.9,7317,48,2,2273.33,High School,Rent,Education,East,-0.881051391,-0.948338718,C,40,104.454317,0
180,37,30997,707.91,535,2,13.7,10142,60,0,5434.8,High School,Mortgage,Medical,Central,-0.358339741,0.370572701,A,64,20.57655356,1
181,25,,6120.71,506,3,1.3,17224,60,2,2345.73,High School,Mortgage,Other,South,-1.658600458,1.674177777,D,82,216.5944463,0
182,54,27567,1514.16,527,1,1.4,23445,60,2,3042.9,High School,Mortgage,Business,North,-1.489734,-1.249418887,D,38,328.0076234,1
183,59,190769,807.24,633,3,6.7,13418,84,1,4688.91,Bachelor,Own,Medical,South,0.598704893,0.931749391,B,94,175.4152102,0
184,52,47549,1743.3,660,5,0.6,3204,24,1,2158.11,Bachelor,Rent,Other,South,-1.509288839,-0.539739181,D,69,1154.011267,0
185,43,21102,6801.67,599,4,1.7,8093,84,3,1344.44,Bachelor,Rent,Home Improvement,Central,-1.614771968,-1.314437913,C,24,641.7143196,1
186,43,27210,2305.24,,5,14,14573,24,0,,Bachelor,Other,Business,West,0.843938451,-0.648751638,B,87,187.5504365,0
187,50,22290,1367.85,544,3,3,13966,84,0,33829.09,Bachelor,Rent,Debt Consolidation,South,0.352796441,1.811838084,D,78,44.2330764,0
188,47,90397,1710.04,630,3,5.2,8293,24,0,2818.71,Bachelor,Own,Debt Consolidation,Central,-3.88E-05,2.655158467,D,3,153.9810945,0
189,60,86567,2005.21,457,6,3.4,26214,36,0,12449.37,Master,Rent,Business,West,-0.263792704,0.227316047,A,25,187.6962739,0
190,47,,1189.01,658,5,,5683,24,0,1235.54,Bachelor,Rent,Education,East,-0.378287478,-0.991951024,B,30,154.9532775,0
191,37,53775,729.94,581,2,0.3,15362,36,,1600.41,None,Own,Business,South,-1.341484562,0.685985822,C,18,240.7219747,0
192,32,17914,1259.38,637,6,4.9,32500,12,0,3726.54,High School,Rent,Other,North,-0.495661054,1.780758366,B,66,72.87950466,0
193,56,180757,1341.25,554,1,0.3,40352,84,0,13361.49,High School,Rent,Home Improvement,North,-1.150006624,0.13569407,D,63,47.85436829,0
